date,price_usd,unit,basis,source,reconstructed
2022-08-29,1.30,lb,wholesale,,true
2022-09-05,1.30,lb,wholesale,,true
2022-09-12,1.28,lb,wholesale,,true
2022-09-19,1.24,lb,wholesale,,true
2022-09-26,1.19,lb,wholesale,,true
2022-10-03,1.14,lb,wholesale,,true
2022-10-10,1.12,lb,wholesale,,true
2022-10-17,1.01,lb,wholesale,,true
2022-10-24,0.93,lb,wholesale,,true
2022-10-31,0.85,lb,wholesale,,true
2022-11-07,0.79,lb,wholesale,,true
2022-11-14,0.74,lb,wholesale,,true
2022-11-21,0.67,lb,wholesale,,true
2022-11-28,0.66,lb,wholesale,,true
2022-12-05,0.64,lb,wholesale,,true
2022-12-12,0.63,lb,wholesale,,true
2022-12-19,0.60,lb,wholesale,,true
2022-12-26,0.60,lb,wholesale,,true
2023-01-02,0.63,lb,wholesale,,true
2023-01-09,0.62,lb,wholesale,,true
2023-01-16,0.63,lb,wholesale,,true
2023-01-23,0.65,lb,wholesale,,true
2023-01-30,0.66,lb,wholesale,,true
2023-02-06,0.69,lb,wholesale,,true
2023-02-13,0.75,lb,wholesale,,true
2023-02-20,0.79,lb,wholesale,,true
2023-02-27,0.82,lb,wholesale,,true
2023-03-06,0.84,lb,wholesale,,true
2023-03-13,0.86,lb,wholesale,,true
2023-03-20,0.90,lb,wholesale,,true
2023-03-27,0.94,lb,wholesale,,true
2023-04-03,0.96,lb,wholesale,,true
2023-04-10,1.00,lb,wholesale,,true
2023-04-17,1.00,lb,wholesale,,true
2023-04-24,0.97,lb,wholesale,,true
2023-05-01,1.00,lb,wholesale,,true
2023-05-08,1.00,lb,wholesale,,true
2023-05-15,1.00,lb,wholesale,,true
2023-05-22,1.00,lb,wholesale,,true
2023-05-29,1.00,lb,wholesale,,true
2023-06-05,1.00,lb,wholesale,,true
2023-06-12,0.98,lb,wholesale,,true
2023-06-19,0.99,lb,wholesale,,true
2023-06-26,1.00,lb,wholesale,,true
2023-07-03,0.99,lb,wholesale,,true
2023-07-10,1.00,lb,wholesale,,true
2023-07-17,1.01,lb,wholesale,,true
2023-07-24,1.01,lb,wholesale,,true
2023-07-31,1.01,lb,wholesale,,true
2023-08-07,1.02,lb,wholesale,,true
2023-08-14,1.03,lb,wholesale,,true
2023-08-21,1.03,lb,wholesale,,true
2023-08-28,1.04,lb,wholesale,,true
2023-09-04,1.06,lb,wholesale,,true
2023-09-11,1.07,lb,wholesale,,true
2023-09-18,1.07,lb,wholesale,,true
2023-09-25,1.07,lb,wholesale,,true
2023-10-02,1.08,lb,wholesale,,true
2023-10-09,1.07,lb,wholesale,,true
2023-10-16,1.06,lb,wholesale,,true
2023-10-23,1.02,lb,wholesale,,true
2023-10-30,0.98,lb,wholesale,,true
2023-11-06,0.93,lb,wholesale,,true
2023-11-13,0.90,lb,wholesale,,true
2023-11-20,0.87,lb,wholesale,,true
2023-11-27,0.85,lb,wholesale,,true
2023-12-04,0.84,lb,wholesale,,true
2023-12-11,0.81,lb,wholesale,,true
2023-12-18,0.83,lb,wholesale,,true
2023-12-25,0.83,lb,wholesale,,true
2024-01-01,0.82,lb,wholesale,,true
2024-01-08,0.83,lb,wholesale,,true
2024-01-15,0.84,lb,wholesale,,true
2024-01-22,0.85,lb,wholesale,,true
2024-01-29,0.87,lb,wholesale,,true
2024-02-05,0.90,lb,wholesale,,true
2024-02-12,0.92,lb,wholesale,,true
2024-02-19,0.95,lb,wholesale,,true
2024-02-26,0.98,lb,wholesale,,true
2024-03-04,1.03,lb,wholesale,,true
2024-03-11,1.08,lb,wholesale,,true
2024-03-18,1.11,lb,wholesale,,true
2024-03-25,1.14,lb,wholesale,,true
2024-04-01,1.21,lb,wholesale,,true
2024-04-08,1.23,lb,wholesale,,true
2024-04-15,1.25,lb,wholesale,,true
2024-04-22,1.26,lb,wholesale,,true
2024-04-29,1.28,lb,wholesale,,true
2024-05-06,1.33,lb,wholesale,,true
2024-05-13,1.73,lb,wholesale,,true
2024-05-20,1.40,lb,wholesale,,true
2024-05-27,1.42,lb,wholesale,,true
2024-06-03,1.43,lb,wholesale,,true
2024-06-10,1.44,lb,wholesale,,true
2024-06-17,1.64,lb,wholesale,,true
2024-06-24,1.45,lb,wholesale,,true
2024-07-01,1.45,lb,wholesale,,true
2024-07-08,1.46,lb,wholesale,,true
2024-07-15,1.45,lb,wholesale,,true
2024-07-22,1.45,lb,wholesale,,true
2024-07-29,1.45,lb,wholesale,,true
2024-08-05,1.45,lb,wholesale,,true
2024-08-12,1.46,lb,wholesale,,true
2024-08-19,1.48,lb,wholesale,,true
2024-08-26,1.47,lb,wholesale,,true
2024-09-02,1.47,lb,wholesale,,true
2024-09-09,1.47,lb,wholesale,,true
2024-09-16,1.46,lb,wholesale,,true
2024-09-23,1.46,lb,wholesale,,true
2024-09-30,1.44,lb,wholesale,,true
2024-10-07,1.41,lb,wholesale,,true
2024-10-14,1.40,lb,wholesale,,true
2024-10-21,1.38,lb,wholesale,,true
2024-10-28,1.33,lb,wholesale,,true
2024-11-04,1.29,lb,wholesale,,true
2024-11-11,1.28,lb,wholesale,,true
2024-11-18,1.26,lb,wholesale,,true
2024-11-25,1.26,lb,wholesale,,true
2024-12-02,1.25,lb,wholesale,,true
2024-12-09,1.26,lb,wholesale,,true
2024-12-16,1.25,lb,wholesale,,true
2024-12-23,1.22,lb,wholesale,,true
2024-12-30,1.19,lb,wholesale,,true
2025-01-06,1.15,lb,wholesale,,true
2025-01-13,1.14,lb,wholesale,,true
2025-01-20,1.13,lb,wholesale,,true
2025-01-27,1.13,lb,wholesale,,true
2025-02-03,1.19,lb,wholesale,,true
2025-02-10,1.13,lb,wholesale,,true
2025-02-17,1.14,lb,wholesale,,true
2025-02-24,1.16,lb,wholesale,,true
2025-03-03,1.18,lb,wholesale,,true
2025-03-10,1.21,lb,wholesale,,true
2025-03-17,1.26,lb,wholesale,,true
2025-03-24,1.29,lb,wholesale,,true
2025-03-31,1.33,lb,wholesale,,true
2025-04-07,1.39,lb,wholesale,,true
2025-04-14,1.47,lb,wholesale,,true
2025-04-21,1.55,lb,wholesale,,true
2025-04-28,1.59,lb,wholesale,,true
2025-05-05,1.62,lb,wholesale,,true
2025-05-12,1.65,lb,wholesale,,true
2025-05-19,2.13,lb,wholesale,,true
2025-05-26,1.67,lb,wholesale,,true
2025-06-02,1.67,lb,wholesale,,true
2025-06-09,1.67,lb,wholesale,,true
2025-06-16,1.65,lb,wholesale,,true
2025-06-23,1.61,lb,wholesale,,true
2025-06-30,1.55,lb,wholesale,,true
2025-07-07,1.50,lb,wholesale,,true
2025-07-14,1.45,lb,wholesale,,true
2025-07-21,1.43,lb,wholesale,,true
2025-07-28,1.43,lb,wholesale,,true
2025-08-04,1.43,lb,wholesale,,true
2025-08-11,1.41,lb,wholesale,,true
2025-08-18,1.40,lb,wholesale,,true
2025-08-25,1.40,lb,wholesale,,true
2025-09-01,1.39,lb,wholesale,,true
2025-09-08,1.39,lb,wholesale,,true
2025-09-15,1.38,lb,wholesale,,true
2025-09-22,1.33,lb,wholesale,,true
2025-09-29,1.25,lb,wholesale,,true
2025-10-06,1.15,lb,wholesale,,true
2025-10-13,1.05,lb,wholesale,,true
2025-10-20,0.98,lb,wholesale,,true
2025-10-27,0.94,lb,wholesale,,true
2025-11-03,0.91,lb,wholesale,,true
2025-11-10,0.91,lb,wholesale,,true
2025-11-17,0.91,lb,wholesale,,true
2025-11-24,0.91,lb,wholesale,,true
2025-12-01,0.92,lb,wholesale,,true
2025-12-08,1.16,lb,wholesale,,true
2025-12-15,0.91,lb,wholesale,,true
2025-12-22,0.91,lb,wholesale,,true
2025-12-29,0.91,lb,wholesale,,true
2026-01-05,0.93,lb,wholesale,,true
2026-01-12,0.97,lb,wholesale,,true
2026-01-19,1.01,lb,wholesale,,true
2026-01-26,1.01,lb,wholesale,,true
2026-02-02,1.03,lb,wholesale,,true
2026-02-09,1.03,lb,wholesale,,true
2026-02-16,1.05,lb,wholesale,,true
2026-02-23,1.08,lb,wholesale,usda-ams-national,false
2026-03-02,1.11,lb,wholesale,usda-ams-national,false
2026-03-09,1.17,lb,wholesale,usda-ams-national,false
2026-03-16,1.23,lb,wholesale,usda-ams-national,false
2026-03-23,1.27,lb,wholesale,usda-ams-national,false
2026-03-30,1.29,lb,wholesale,usda-ams-national,false
2026-04-06,1.29,lb,wholesale,usda-ams-national,false
2026-04-13,1.29,lb,wholesale,usda-ams-national,false
2026-04-20,1.31,lb,wholesale,usda-ams-national,false
2026-04-27,1.33,lb,wholesale,usda-ams-national,false
2026-05-04,1.37,lb,wholesale,usda-ams-national,false
2026-05-11,1.38,lb,wholesale,usda-ams-national,false
2026-05-18,1.37,lb,wholesale,usda-ams-national,false
2026-05-25,1.40,lb,wholesale,usda-ams-national,false
2026-06-01,1.43,lb,wholesale,usda-ams-national,false
2026-06-08,1.42,lb,wholesale,usda-ams-national,false
2026-06-15,1.42,lb,wholesale,usda-ams-national,false
